operator,effective_date,rate,status,source_url,note
lotte,2025-11,1400,unconfirmed,https://www.sedaily.com/article/20064793,일자 미확인 — 2차 보도가 '지난해 11월'로만 언급
shilla,2025-11,1400,unconfirmed,https://www.sedaily.com/article/20064793,일자 미확인 — 2차 보도가 '지난해 11월'로만 언급
shinsegae,2025-11,1400,unconfirmed,https://www.sedaily.com/article/20064793,일자 미확인 — 2차 보도가 '지난해 11월'로만 언급
hyundai,2025-11,1400,unconfirmed,https://www.sedaily.com/article/20064793,일자 미확인 — 2차 보도가 '지난해 11월'로만 언급
lotte,2026-03-24,1450,confirmed,https://www.sedaily.com/article/20023087,
shinsegae,2026-03-24,1450,confirmed,https://www.sedaily.com/article/20023087,
shilla,2026-03-25,1450,confirmed,https://www.sedaily.com/article/20023087,
hyundai,2026-03-25,1450,confirmed,https://www.sedaily.com/article/20023087,
lotte,2026-07-08,1500,confirmed,https://www.sedaily.com/article/20064793,
shilla,2026-07-08,1500,confirmed,https://www.sedaily.com/article/20064793,
shinsegae,2026-07-09,1500,confirmed,https://www.sedaily.com/article/20064793,
hyundai,2026-07-09,1500,confirmed,https://www.sedaily.com/article/20064793,
lotte,2026-08-07,1400,confirmed,https://www.sedaily.com/article/20077083,
hyundai,2026-08-07,1400,confirmed,https://www.sedaily.com/article/20077083,
shilla,2026-08-10,1400,confirmed,https://www.sedaily.com/article/20077083,
shinsegae,2026-08-10,1400,confirmed,https://www.sedaily.com/article/20077083,
lotte,2026-09-10,1350,confirmed,https://www.kukinews.com/article/view/kuk202609100125,
hyundai,2026-09-10,1350,confirmed,https://www.kukinews.com/article/view/kuk202609100125,
shilla,2026-09-11,1350,confirmed,https://www.kukinews.com/article/view/kuk202609100125,
shinsegae,2026-09-11,1350,confirmed,https://www.kukinews.com/article/view/kuk202609100125,
